label,text_1,text_2,text_1_norm,text_2_norm
1,Глава Мосгорсуда не исключила смягчения наказания Pussy Riot.,Глава Мосгорсуда заявила о возможном смягчении приговора Pussy Riot.,глава_NOUN мосгорсуд_NOUN не_PART исключать_VERB смягчение_NOUN наказание_NOUN Pussy_X Riot_X,глава_NOUN мосгорсуд_NOUN заявлять_VERB о_ADP возможный_ADJ смягчение_NOUN приговор_NOUN Pussy_X Riot_X
0,При задержании Дж.Царнаев оказал активное сопротивление.,Джохара Царнаева задержали.,при_ADP задержание_NOUN Дж_X царнай_NOUN оказывать_VERB активный_ADJ сопротивление_NOUN,джохар_NOUN царнаев_NOUN задерживать_VERB
0,В Китае произошло сильное землетрясение: десятки погибших.,В Китае произошло мощное землетрясение.,в_ADP китай_NOUN происходить_VERB сильный_ADJ землетрясение_NOUN десяток_NOUN погибший_ADJ,в_ADP китай_NOUN происходить_VERB мощный_ADJ землетрясение_NOUN
0,В Перу в результате крушения вертолета погибли 13 человек.,При крушении вертолета Ми-8 в Перу погибли 13 человек.,в_ADP перо_NOUN в_ADP результат_NOUN крушение_NOUN вертолет_NOUN погибать_VERB человек_NOUN,при_ADP крушение_NOUN вертолет_NOUN ми_NOUN в_ADP перо_NOUN погибать_VERB человек_NOUN
0,На Красной площади полиция задержала группу оппозиционеров.,На Красной площади задержаны 24 человека.,на_ADP красный_ADJ площадь_NOUN полиция_NOUN задерживать_VERB группа_NOUN оппозиционер_NOUN,на_ADP красный_ADJ площадь_NOUN задерживать_VERB человек_NOUN
0,"Россия сделала запрос в ФБР по ""бостонскому террористу"" еще в 2011 году.",Россия запрашивала у ФБР данные на «бостонского террориста».,россия_NOUN сделать_VERB запрос_NOUN в_ADP фбр_NOUN по_ADP бостонский_ADJ террорист_NOUN еще_ADV в_ADP год_NOUN,россия_NOUN запрашивать_VERB у_ADP фбр_NOUN данные_NOUN на_ADP бостонский_ADJ террорист_NOUN
0,Lufthansa отменила почти все рейсы на 22 апреля из-за забастовки.,Lufthansa отменила почти все рейсы на понедельник.,Lufthansa_X отменять_VERB почти_ADV весь_DET рейс_NOUN на_ADP апрель_NOUN из-за_ADP забастовка_NOUN,Lufthansa_X отменять_VERB почти_ADV весь_DET рейс_NOUN на_ADP понедельник_NOUN
0,Посетители обстреляли охрану московского ночного клуба.,Нетрезвые посетители обстреляли охрану московского клуба.,посетитель_NOUN обстреливать_VERB охрана_NOUN московский_ADJ ночной_ADJ клуб_NOUN,нетрезвый_ADJ посетитель_NOUN обстреливать_VERB охрана_NOUN московский_ADJ клуб_NOUN
1,Под лавиной в США погибли пять сноубордистов.,Под лавиной в Колорадо погибли пять человек.,под_ADP лавина_NOUN в_ADP сша_NOUN погибать_VERB пять_NUM сноубордист_NOUN,под_ADP лавина_NOUN в_ADP колорадо_NOUN погибать_VERB пять_NUM человек_NOUN
1,В московском отделе полиции повесился задержанный.,В московском ОВД повесился задержанный.,в_ADP московский_ADJ отдел_NOUN полиция_NOUN повеситься_VERB задержанный_NOUN,в_ADP московский_ADJ овд_NOUN повеситься_VERB задержанный_NOUN
0,Друзей Джохара Царнаева задержали за рекламу терроризма.,Друзей Царнаева задержали из-за машины с надписью «Террорист номер 1».,друг_NOUN джохар_NOUN царнаев_NOUN задерживать_VERB за_ADP реклама_NOUN терроризм_NOUN,друг_NOUN царнаев_NOUN задерживать_VERB из-за_ADP машина_NOUN с_ADP надпись_NOUN террорист_NOUN номер_NOUN
0,На утонувшем в Неве буксире найдены тела двух членов экипажа.,Обнаружены тела членов экипажа затонувшего в Петербурге буксира.,на_ADP утопать_VERB в_ADP нева_NOUN буксир_NOUN находить_VERB тело_NOUN два_NUM член_NOUN экипаж_NOUN,обнаруживать_VERB тело_NOUN член_NOUN экипаж_NOUN затонуть_VERB в_ADP петербург_NOUN буксир_NOUN
0,"""ЕР"" порекомендует Чукотке отказаться от губернаторских выборов.",Чукотке рекомендуют отказаться от выборов губернатора.,ер_NOUN порекомендовать_VERB чукотка_NOUN отказываться_VERB от_ADP губернаторский_ADJ выборы_NOUN,чукотка_NOUN рекомендовать_VERB отказываться_VERB от_ADP выборы_NOUN губернатор_NOUN
-1,В День Победы такси для ветеранов в Москве будут бесплатными.,"Минобороны заказало багги на 3,5 миллиона рублей.",в_ADP день_NOUN победа_NOUN такси_NOUN для_ADP ветеран_NOUN в_ADP москва_NOUN быть_VERB бесплатный_ADJ,минобороны_NOUN заказывать_VERB багги_NOUN на_ADP миллион_NOUN рубль_NOUN
1,В Забайкалье местные жители забили полицейского палками.,Жители поселка в Забайкалье забили палками участкового.,в_ADP забайкалье_NOUN местный_ADJ житель_NOUN забивать_VERB полицейский_ADJ палка_NOUN,житель_NOUN поселок_NOUN в_ADP забайкалье_NOUN забивать_VERB палка_NOUN участковый_NOUN
0,На президента Ботсваны напал гепард.,Президента Ботсваны расцарапал гепард.,на_ADP президент_NOUN ботсвана_NOUN нападывать_VERB гепард_NOUN,президент_NOUN ботсвана_NOUN расцарапывать_VERB гепард_NOUN
-1,Установлена личность одного из погибших при взрывах в Бостоне.,В результате взрывов в Бостоне погибли два человека.,устанавливать_VERB личность_NOUN один_DET из_ADP погибший_ADJ при_ADP взрыв_NOUN в_ADP бостон_NOUN,в_ADP результат_NOUN взрыв_NOUN в_ADP бостон_NOUN погибать_VERB два_NUM человек_NOUN
1,Над Сирией обстрелян российский пассажирский самолет.,Над Сирией обстреляли российский пассажирский самолет.,над_ADP сирия_NOUN обстреливать_VERB российский_ADJ пассажирский_ADJ самолет_NOUN,над_ADP сирия_NOUN обстреливать_VERB российский_ADJ пассажирский_ADJ самолет_NOUN
-1,СМИ: На марафоне в Бостоне планировалось 5 взрывов.,СМИ сообщили о 12 погибших при взрывах в Бостоне.,сми_NOUN на_ADP марафон_NOUN в_ADP бостон_NOUN планироваться_VERB взрыв_NOUN,сми_NOUN сообщать_VERB о_ADP погибший_ADJ при_ADP взрыв_NOUN в_ADP бостон_NOUN
0,Активистки FEMEN разделись перед В.Путиным в Германии.,Активистки Femen разделись перед Путиным.,активистка_NOUN FEMEN_X раздеваться_VERB перед_ADP в_ADP путин_NOUN в_ADP германия_NOUN,активистка_NOUN Femen_X раздеваться_VERB перед_ADP путин_NOUN
1,Сеул не подтвердил свое заявление о подготовке КНДР к ядерным испытаниям.,В Сеуле опровергли подготовку КНДР к новому ядерному испытанию.,сеул_NOUN не_PART подтверждать_VERB свой_DET заявление_NOUN о_ADP подготовка_NOUN кндр_NOUN к_ADP ядерный_ADJ испытание_NOUN,в_ADP сеул_NOUN опровергать_VERB подготовка_NOUN кндр_NOUN к_ADP новый_ADJ ядерный_ADJ испытание_NOUN
-1,СМИ назвали дату нового ядерного испытания КНДР.,В Сеуле опровергли подготовку КНДР к новому ядерному испытанию.,сми_NOUN называть_VERB дата_NOUN новый_ADJ ядерный_ADJ испытание_NOUN кндр_NOUN,в_ADP сеул_NOUN опровергать_VERB подготовка_NOUN кндр_NOUN к_ADP новый_ADJ ядерный_ADJ испытание_NOUN
-1,Над Сирией обстрелян российский пассажирский самолет.,Обстрелянный в Сирии российский самолет долетел до Казани.,над_ADP сирия_NOUN обстреливать_VERB российский_ADJ пассажирский_ADJ самолет_NOUN,обстреливать_VERB в_ADP сирия_NOUN российский_ADJ самолет_NOUN долетать_VERB до_ADP казань_NOUN
-1,Бостонские врачи борются за жизнь 40 тяжелораненых при теракте.,Google запустил сервис для поиска пострадавших при теракте в Бостоне.,бостонский_ADJ врач_NOUN бороться_VERB за_ADP жизнь_NOUN тяжелораненый_NOUN при_ADP теракт_NOUN,Google_X запускать_VERB сервис_NOUN для_ADP поиск_NOUN пострадавший_NOUN при_ADP теракт_NOUN в_ADP бостон_NOUN
1,Присяжные вынесли обвинительный вердикт по делу об убийстве Ю.Буданова.,Присяжные вынесли обвинительный вердикт по делу об убийстве Буданова.,присяжный_NOUN вынести_VERB обвинительный_ADJ вердикт_NOUN по_ADP дело_NOUN об_ADP убийство_NOUN ю_NOUN буданов_NOUN,присяжный_NOUN вынести_VERB обвинительный_ADJ вердикт_NOUN по_ADP дело_NOUN об_ADP убийство_NOUN буданов_NOUN
0,Приговор убийце полковника Ю.Буданова вынесут 7 мая.,Присяжные вынесли обвинительный вердикт по делу об убийстве Буданова.,приговор_NOUN убийца_NOUN полковник_NOUN ю_NOUN буданов_NOUN вынести_VERB май_NOUN,присяжный_NOUN вынести_VERB обвинительный_ADJ вердикт_NOUN по_ADP дело_NOUN об_ADP убийство_NOUN буданов_NOUN
1,Минобразования сократит количество специальностей в вузах в 5 раз.,Число специальностей в вузах сократят в пять раз.,минобразование_NOUN сокращать_VERB количество_NOUN специальность_NOUN в_ADP вуз_NOUN в_ADP раз_NOUN,число_NOUN специальность_NOUN в_ADP вуз_NOUN сокращать_VERB в_ADP пять_NUM раз_NOUN
-1,Оппозиция подала заявку на митинг 6 мая на Болотной.,Россияне потеряли интерес к бизнесу.,оппозиция_NOUN подавать_VERB заявка_NOUN на_ADP митинг_NOUN май_NOUN на_ADP болотный_ADJ,россиянин_NOUN потерять_VERB интерес_NOUN к_ADP бизнес_NOUN
0,"Росавиация предложила запретить самолетам из РФ летать над ""полем битвы"".",Росавиация предложила запретить полеты в районах боевых действий.,росавиация_NOUN предлагать_VERB запрещать_VERB самолет_NOUN из_ADP рф_NOUN летать_VERB над_ADP поле_NOUN битва_NOUN,росавиация_NOUN предлагать_VERB запрещать_VERB полет_NOUN в_ADP район_NOUN боевой_ADJ действие_NOUN
1,В бостонском забеге участвовали 24 россиянина.,В бостонском марафоне участвовали 24 россиянина.,в_ADP бостонский_ADJ забег_NOUN участвовать_VERB россиянин_NOUN,в_ADP бостонский_ADJ марафон_NOUN участвовать_VERB россиянин_NOUN
1,Королева Нидерландов Беатрикс выступила с прощальной речью.,Королева Нидерландов выступила с прощальной речью.,королева_NOUN нидерланды_NOUN беатрикс_NOUN выступать_VERB с_ADP прощальный_ADJ речь_NOUN,королева_NOUN нидерланды_NOUN выступать_VERB с_ADP прощальный_ADJ речь_NOUN
1,Прощальная речь королевы Нидерландов.,Королева Нидерландов выступила с прощальной речью.,прощальный_ADJ речь_NOUN королева_NOUN нидерланды_NOUN,королева_NOUN нидерланды_NOUN выступать_VERB с_ADP прощальный_ADJ речь_NOUN
0,"Все 8 фигурантов дела о пожаре в ""Хромой лошади"" признаны виновными.",Подсудимые по делу «Хромой лошади» признаны виновными.,весь_DET фигурант_NOUN дело_NOUN о_ADP пожар_NOUN в_ADP хромой_ADJ лошадь_NOUN признавать_VERB виновный_ADJ,подсудимый_NOUN по_ADP дело_NOUN хромой_ADJ лошадь_NOUN признавать_VERB виновный_ADJ
-1,"Казанский бегун, принимавший участие в Бостонском марафоне, не пострадал.",Российские участники бостонского марафона не пострадали.,казанский_NOUN бегун_NOUN принимать_VERB участие_NOUN в_ADP бостонский_ADJ марафон_NOUN не_PART пострадать_VERB,российский_ADJ участник_NOUN бостонский_ADJ марафон_NOUN не_PART пострадать_VERB
-1,"В 1 квартале 2013 г. ""Казаньоргсинтез"" увеличил чистую прибыль на 7%.",ВМФ России испытает «Ясень» «Ониксом».,в_ADP квартал_NOUN г_NOUN казаньоргсинтез_NOUN увеличивать_VERB чистый_ADJ прибыль_NOUN на_ADP,вмф_NOUN россия_NOUN испытывать_VERB ясень_NOUN оникс_NOUN
-1,Из-за падения с велосипеда М.Саакашвили пришлось изменить рабочий график.,Саакашвили госпитализировали после падения с велосипеда.,из-за_ADP падение_NOUN с_ADP велосипед_NOUN м_NOUN саакашвили_NOUN приходиться_VERB изменять_VERB рабочий_ADJ график_NOUN,саакашвили_NOUN госпитализировать_VERB после_ADP падение_NOUN с_ADP велосипед_NOUN
-1,КНДР обещает напасть на Южную Корею без предупреждения.,КНДР объявила ультиматум Южной Корее.,кндр_NOUN обещать_VERB нападать_VERB на_ADP южный_ADJ корея_NOUN без_ADP предупреждение_NOUN,кндр_NOUN объявлять_VERB ультиматум_NOUN южный_ADJ корея_NOUN
0,КНДР обозлилась на Южную Корею за надругательство над святыней.,КНДР объявила ультиматум Южной Корее.,кндр_NOUN обозлиться_VERB на_ADP южный_ADJ корея_NOUN за_ADP надругательство_NOUN над_ADP святыня_NOUN,кндр_NOUN объявлять_VERB ультиматум_NOUN южный_ADJ корея_NOUN
1,Конституционный суд разрешил россиянам обжаловать итоги выборов.,Конституционный суд позволил избирателям обжаловать результаты выборов.,конституционный_ADJ суд_NOUN разрешать_VERB россиянин_NOUN обжаловать_VERB итог_NOUN выборы_NOUN,конституционный_ADJ суд_NOUN позволять_VERB избиратель_NOUN обжаловать_VERB результат_NOUN выборы_NOUN
1,КС подтвердил право избирателей оспаривать результаты выборов в суде.,Конституционный суд позволил избирателям обжаловать результаты выборов.,кс_NOUN подтверждать_VERB право_NOUN избиратель_NOUN оспаривать_VERB результат_NOUN выборы_NOUN в_ADP суд_NOUN,конституционный_ADJ суд_NOUN позволять_VERB избиратель_NOUN обжаловать_VERB результат_NOUN выборы_NOUN
-1,На ремонте трассы М-6 украли 30 млн рублей.,При ремонте трассы «Каспий» похитили 31 миллион рублей.,на_ADP ремонт_NOUN трасса_NOUN м_NOUN украсть_VERB млн_X рубль_NOUN,при_ADP ремонт_NOUN трасса_NOUN каспий_NOUN похищать_VERB миллион_NOUN рубль_NOUN
0,"""Российский шпион"" в США приговорен к 16 годам тюрьмы.",«Российского шпиона» на Аляске приговорили к 16 годам тюрьмы.,российский_ADJ шпион_NOUN в_ADP сша_NOUN приговаривать_VERB к_ADP год_NOUN тюрьма_NOUN,российский_ADJ шпион_NOUN на_ADP аляска_NOUN приговаривать_VERB к_ADP год_NOUN тюрьма_NOUN
0,Дело о пожаре в психбольнице: СК нашел виноватых.,Заведены новые уголовные дела по пожару в психбольнице.,дело_NOUN о_ADP пожар_NOUN в_ADP психбольница_NOUN ск_NOUN находить_VERB виноватый_ADJ,заводить_VERB новый_ADJ уголовный_ADJ дело_NOUN по_ADP пожар_NOUN в_ADP психбольница_NOUN
0,Глава Хабаровского края стал врио губернатора.,Назначен исполняющий обязанности губернатора Хабаровского края.,глава_NOUN хабаровский_ADJ край_NOUN становиться_VERB врио_NOUN губернатор_NOUN,назначать_VERB исполнять_VERB обязанность_NOUN губернатор_NOUN хабаровский_ADJ край_NOUN
-1,"Вице-губернатора Новгородской области обвинили по ""дорожному делу"".",Вице-губернатору Новгородской области предъявили обвинение.,вице-губернатор_NOUN новгородский_ADJ область_NOUN обвинять_VERB по_ADP дорожный_ADJ дело_NOUN,вице-губернатор_NOUN новгородский_ADJ область_NOUN предъявлять_VERB обвинение_NOUN
-1,"В офисах ""Курортов Северного Кавказа"" идут обыски.",В московский офис «Курортов Северного Кавказа» пришли с обыском.,в_ADP офис_NOUN курорт_NOUN северный_ADJ кавказ_NOUN идти_VERB обыск_NOUN,в_ADP московский_ADJ офис_NOUN курорт_NOUN северный_ADJ кавказ_NOUN приходить_VERB с_ADP обыск_NOUN
0,Председатель Госдумы поддержал требование отставки Д.Ливанова.,Спикер Госдумы поддержал отставку Ливанова.,председатель_NOUN госдума_NOUN поддерживать_VERB требование_NOUN отставка_NOUN д_NOUN ливанова_NOUN,спикер_NOUN госдума_NOUN поддерживать_VERB отставка_NOUN ливанов_NOUN
0,"Маша Гессен увольняется с радио ""Свобода"".",Маша Гессен уволилась с «Радио Свобода».,маша_NOUN гессен_NOUN увольняться_VERB с_ADP радио_NOUN свобода_NOUN,маша_NOUN гессен_NOUN увольняться_VERB с_ADP радио_NOUN свобода_NOUN
1,В Чили эксгумировали останки поэта Пабло Неруды.,В Чили эксгумировали останки Пабло Неруды.,в_ADP чили_NOUN эксгумировать_VERB останки_NOUN поэт_NOUN пабло_NOUN неруда_NOUN,в_ADP чили_NOUN эксгумировать_VERB останки_NOUN пабло_NOUN неруда_NOUN
1,В России возрожден Семеновский полк.,В России возродили Семеновский полк.,в_ADP россия_NOUN возрождать_VERB семеновский_ADJ полк_NOUN,в_ADP россия_NOUN возрождать_VERB семеновский_ADJ полк_NOUN
1,Сирия не пустила экспертов ООН по химическому оружию.,Сирия отказалась впустить комиссию ООН по химическому оружию.,сирия_NOUN не_PART пускать_VERB эксперт_NOUN оон_NOUN по_ADP химический_ADJ оружие_NOUN,сирия_NOUN отказываться_VERB впускать_VERB комиссия_NOUN оон_NOUN по_ADP химический_ADJ оружие_NOUN
0,В Белгороде неизвестный открыл стрельбу по прохожим.,Неизвестный устроил стрельбу в центре Белгорода.,в_ADP белгород_NOUN неизвестный_ADJ открывать_VERB стрельба_NOUN по_ADP прохожий_NOUN,неизвестный_ADJ устраивать_VERB стрельба_NOUN в_ADP центр_NOUN белгород_NOUN
-1,Посольство РФ в Кабуле подтвердило данные об одном российском пленнике.,МИД РФ подтвердил захват талибами россиянина.,посольство_NOUN рф_NOUN в_ADP кабул_NOUN подтвердить_VERB данные_NOUN об_ADP один_DET российский_ADJ пленник_NOUN,мид_NOUN рф_NOUN подтверждать_VERB захват_NOUN талиб_NOUN россиянин_NOUN
0,В Канаде предотвратили серию крупных терактов.,В Канаде предотвратили крупный теракт.,в_ADP канада_NOUN предотвращать_VERB серия_NOUN крупный_ADJ теракт_NOUN,в_ADP канада_NOUN предотвращать_VERB крупный_ADJ теракт_NOUN
-1,Самый разыскиваемый американский педофил пойман в Никарагуа.,В Никарагуа задержан самый разыскиваемый ФБР преступник.,самый_DET разыскивать_VERB американский_ADJ педофил_NOUN поймать_VERB в_ADP никарагуа_NOUN,в_ADP никарагуа_NOUN задерживать_VERB самый_DET разыскивать_VERB фбр_NOUN преступник_NOUN
0,К спорным островам Сенкаку подошли 8 китайских кораблей.,К спорным островам Сенкаку подошли китайские корабли.,к_ADP спорный_ADJ остров_NOUN сенкак_NOUN подходить_VERB китайский_ADJ корабль_NOUN,к_ADP спорный_ADJ остров_NOUN сенкак_NOUN подходить_VERB китайский_ADJ корабль_NOUN
-1,Порошок в письме с угрозами министру обороны Южной Кореи оказался мукой.,Министру обороны Южной Кореи прислали письмо с белым порошком.,порошок_NOUN в_ADP письмо_NOUN с_ADP угроза_NOUN министр_NOUN оборона_NOUN южный_ADJ корея_NOUN оказываться_VERB мука_NOUN,министр_NOUN оборона_NOUN южный_ADJ корея_NOUN присылать_VERB письмо_NOUN с_ADP белый_ADJ порошок_NOUN
1,Министр обороны Южной Кореи получил сверток с белым порошком.,Министру обороны Южной Кореи прислали письмо с белым порошком.,министр_NOUN оборона_NOUN южный_ADJ корея_NOUN получать_VERB сверток_NOUN с_ADP белый_ADJ порошок_NOUN,министр_NOUN оборона_NOUN южный_ADJ корея_NOUN присылать_VERB письмо_NOUN с_ADP белый_ADJ порошок_NOUN
-1,Арестован фигурант дела об убийстве в массовой драке на Сенном рынке.,Следственный комитет насчитал в России 20 тысяч финансовых пирамид.,арестовывать_VERB фигурант_NOUN дело_NOUN об_ADP убийство_NOUN в_ADP массовый_ADJ драка_NOUN на_ADP сенной_ADJ рынок_NOUN,следственный_ADJ комитет_NOUN насчитывать_VERB в_ADP россия_NOUN тысяча_NOUN финансовый_ADJ пирамида_NOUN
-1,Москва поскупилась на дороги и мосты Петербурга.,Сбербанк пристраивается к вертикали.,москва_NOUN поскупиться_VERB на_ADP дорога_NOUN и_SCONJ мост_NOUN петербург_NOUN,сбербанк_NOUN пристраиваться_VERB к_ADP вертикаль_NOUN
-1,"В приемную ""эсера"" О.Михеева пришли с обыском ""люди в масках"".",Ингушетия отказалась от выборов главы республики.,в_ADP приемная_NOUN эсер_NOUN о_ADP михеев_NOUN приходить_VERB с_ADP обыск_NOUN человек_NOUN в_ADP маска_NOUN,ингушетия_NOUN отказываться_VERB от_ADP выборы_NOUN глава_NOUN республика_NOUN
-1,В театре Акимова на Невском проспекте произошел пожар.,"""Нам еще долго предстоит привыкать к этим площадкам"".",в_ADP театр_NOUN акимов_NOUN на_ADP невский_ADJ проспект_NOUN происходить_VERB пожар_NOUN,мы_PRON еще_ADV долго_ADV предстоять_VERB привыкать_VERB к_ADP этот_DET площадка_NOUN
-1,Парламент Италии не смог выбрать президента.,Италия выберет и перевыберет.,парламент_NOUN италия_NOUN не_PART смочь_VERB выбирать_VERB президент_NOUN,италия_NOUN выбирать_VERB и_SCONJ перевыбирать_VERB
-1,Миллиардер на музыкальном олимпе.,"""Общественное телевидение"" готово к рассмотрению.",миллиардер_NOUN на_ADP музыкальный_ADJ олимп_NOUN,общественный_ADJ телевидение_NOUN готовый_ADJ к_ADP рассмотрение_NOUN
-1,Прямая линия с В.Путиным состоится 25 апреля.,"Смотрите, как прошел - На какие вопросы ответил ПМЭФ-2014.",прямой_ADJ линия_NOUN с_ADP в_NOUN путин_NOUN состояться_VERB апрель_NOUN,смотреть_VERB как_SCONJ проходить_VERB на_ADP какой_DET вопрос_NOUN отвечать_VERB пмэф_NOUN
-1,Россию душат опасные отходы.,"«Это не иностранные деньги, а российские».",россия_NOUN душить_VERB опасный_ADJ отходы_NOUN,это_PRON не_PART иностранный_ADJ деньги_NOUN а_SCONJ российский_ADJ
-1,"Журналист, спросивший В.Путина про А.Чубайса, оказался чиновником.",Газпромбанк не хочет бешеных инвесторов.,журналист_NOUN спрашивать_VERB в_ADP путин_NOUN про_ADP а_NOUN чубайс_NOUN оказываться_VERB чиновник_NOUN,газпромбанк_NOUN не_PART хотеть_VERB бешеный_ADJ инвестор_NOUN
-1,"США опубликовали ""список Магнитского"".",Как Россия и США воевали списками.,сша_NOUN опубликовывать_VERB список_NOUN магнитский_ADJ,как_SCONJ россия_NOUN и_SCONJ сша_NOUN воевать_VERB список_NOUN
-1,Запрет на зарубежные счета чиновников прошел второе чтение.,К делу Анны Политковской привлекают присяжных.,запрет_NOUN на_ADP зарубежный_ADJ счет_NOUN чиновник_NOUN проходить_VERB второй_ADJ чтение_NOUN,к_ADP дело_NOUN анна_NOUN политковская_NOUN привлекать_VERB присяжный_NOUN
0,Суд нашел недочеты следствия в деле умершей в СИЗО В.Трифоновой.,Дело умершей в СИЗО не выживает в суде.,суд_NOUN находить_VERB недочет_NOUN следствие_NOUN в_ADP дело_NOUN умирать_VERB в_ADP сизо_NOUN в_ADP трифонова_NOUN,дело_NOUN умирать_VERB в_ADP сизо_NOUN не_PART выживать_VERB в_ADP суд_NOUN
0,Правозащитники из Чувашии попросили Генпрокуратуру проверить Минюст.,Правозащитники подводят Минюст под проверку.,правозащитник_NOUN из_ADP чувашия_NOUN попросить_VERB генпрокуратура_NOUN проверять_VERB минюст_NOUN,правозащитник_NOUN подводить_VERB минюст_NOUN под_ADP проверка_NOUN
-1,Попавшие в ДТП в Бельгии россияне доставлены спецбортом МЧС в Волгоград.,Автобус с российскими детьми попал в ДТП в Бельгии.,попадать_VERB в_ADP дтп_NOUN в_ADP бельгия_NOUN россиянин_NOUN доставлять_VERB спецборт_NOUN мчс_NOUN в_ADP волгоград_NOUN,автобус_NOUN с_ADP российский_ADJ ребенок_NOUN попадать_VERB в_ADP дтп_NOUN в_ADP бельгия_NOUN
-1,"СМИ: Закрытый ""список Магнитского"" будет расширен наряду с основным.","Кто вошел в ""антисписок Магнитского"".",сми_NOUN закрытый_ADJ список_NOUN магнитский_ADJ быть_VERB расширять_VERB наряду_ADV с_ADP основной_ADJ,кто_PRON входить_VERB в_ADP антисписок_NOUN магнитский_ADJ
0,В Петербурге могут создать бюджетный фонд для поддержки ГЧП-проектов.,Петербург создаст собственный инвестиционный фонд.,в_ADP петербург_NOUN мочь_VERB создавать_VERB бюджетный_ADJ фонд_NOUN для_ADP поддержка_NOUN ГЧП_X проект_NOUN,петербург_NOUN создавать_VERB собственный_ADJ инвестиционный_ADJ фонд_NOUN
-1,"Глава ВТБ ожидает, что Э.Набиуллина улучшит работу Центробанка.",Российская реклама не вышла ростом.,глава_NOUN втб_NOUN ожидать_VERB что_SCONJ э_NOUN набиуллин_NOUN улучшать_VERB работа_NOUN центробанк_NOUN,российский_ADJ реклама_NOUN не_PART выходить_VERB рост_NOUN
-1,Инфляция в еврозоне оказалась существенно ниже ожиданий аналитиков.,Российская реклама не вышла ростом.,инфляция_NOUN в_ADP еврозона_NOUN оказываться_VERB существенно_ADV низко_ADV ожидание_NOUN аналитик_NOUN,российский_ADJ реклама_NOUN не_PART выходить_VERB рост_NOUN
-1,"ОНЭКСИМ вложит в застройку ""Торпедо"" 1 млрд долл.","ОПИН запустит ""Торпедо"".",онэксим_NOUN вкладывать_VERB в_ADP застройка_NOUN торпедо_NOUN млрд_NOUN долл_NOUN,опин_NOUN запускать_VERB торпедо_NOUN
-1,"Питерский СКА выиграл у московского ""Динамо"" в матче Кубка Гагарина.",Московское «Динамо» вышло в финал Кубка Гагарина.,питерский_ADJ ска_NOUN выигрывать_VERB у_ADP московский_ADJ динамо_NOUN в_ADP матч_NOUN кубок_NOUN гагарин_NOUN,московский_ADJ динамо_NOUN выходить_VERB в_ADP финал_NOUN кубок_NOUN гагарин_NOUN
-1,В Красноярском крае все больше детей переходит на обучение на дому.,Задержанный за разбой мигрант заявил о ненависти к «зажравшимся москвичам».,в_ADP красноярский_ADJ край_NOUN весь_DET много_ADV ребенок_NOUN переходить_VERB на_ADP обучение_NOUN на_ADP дом_NOUN,задержанный_NOUN за_ADP разбой_NOUN мигрант_NOUN заявлять_VERB о_ADP ненависть_NOUN к_ADP зажраться_VERB москвич_NOUN
0,"Объявлен шорт-лист поэтической премии ""Белла"".",Объявлен шорт-лист «Русской премии».,объявлять_VERB шорты_NOUN лист_NOUN поэтический_ADJ премия_NOUN белла_NOUN,объявлять_VERB шорты_NOUN лист_NOUN русский_ADJ премия_NOUN
-1,В Москве появятся автобусы с держателями для велосипедов.,«Нику» за лучший фильм получил «Фауст» Сокурова.,в_ADP москва_NOUN появляться_VERB автобус_NOUN с_ADP держатель_NOUN для_ADP велосипед_NOUN,ника_NOUN за_ADP хороший_ADJ фильм_NOUN получать_VERB фауст_NOUN сокурова_NOUN
-1,"""Анжи"" вышел в полуфинал Кубка России.",ЦСКА и «Зенит» вышли в полуфинал Кубка России по футболу.,анжи_NOUN выходить_VERB в_ADP полуфинал_NOUN кубок_NOUN россия_NOUN,цска_NOUN и_SCONJ зенит_NOUN выходить_VERB в_ADP полуфинал_NOUN кубок_NOUN россия_NOUN по_ADP футбол_NOUN
-1,"Телевизионная премия ""ТЭФИ"" в этом году пройдет в новом формате.",«Академия Российского телевидения» вернет взносы за заявки на ТЭФИ.,телевизионный_ADJ премия_NOUN тэфи_NOUN в_ADP этот_DET год_NOUN пройти_VERB в_ADP новый_ADJ формат_NOUN,академия_NOUN российский_ADJ телевидение_NOUN вернуть_VERB взнос_NOUN за_ADP заявка_NOUN на_ADP тэфи_NOUN
-1,"""Анжи"" вышел в полуфинал Кубка России.",«Ростов» вышел в полуфинал Кубка России по футболу.,анжи_NOUN выходить_VERB в_ADP полуфинал_NOUN кубок_NOUN россия_NOUN,ростов_NOUN выходить_VERB в_ADP полуфинал_NOUN кубок_NOUN россия_NOUN по_ADP футбол_NOUN
-1,В Москве появятся автобусы с держателями для велосипедов.,Московскому «Спартаку» насчитали штрафов на 320 тысяч рублей.,в_ADP москва_NOUN появляться_VERB автобус_NOUN с_ADP держатель_NOUN для_ADP велосипед_NOUN,московский_ADJ спартак_NOUN насчитывать_VERB штраф_NOUN на_ADP тысяча_NOUN рубль_NOUN
-1,"Лондонский ""Челси"" не пустил ""Рубин"" в полуфинал Лиги Европы.",«Челси» узнал соперника в полуфинале Лиги Европы.,лондонский_ADJ челси_NOUN не_PART пускать_VERB рубин_NOUN в_ADP полуфинал_NOUN лига_NOUN европа_NOUN,челси_NOUN узнавать_VERB соперник_NOUN в_ADP полуфинал_NOUN лига_NOUN европа_NOUN
